BUG-001	CRITICAL	TECHNICAL-FIX	FIX-I permission gaps
BUG-002	CRITICAL	TECHNICAL-FIX	FIX-A async errors (CQ-001)
BUG-003	CRITICAL	TECHNICAL-FIX	FIX-J unauth endpoints
BUG-004	CRITICAL	TECHNICAL-FIX	FIX-V maintenance/spare cascade
BUG-005	CRITICAL	TECHNICAL-FIX	FIX-J unauth endpoints
BUG-006	CRITICAL	TECHNICAL-FIX	FIX-F bookability (CQ-006)
BUG-007	CRITICAL	TECHNICAL-FIX	FIX-X delete/cancel cascade
BUG-008	HIGH	TECHNICAL-FIX	FIX-K auth/session/limits
BUG-009	HIGH	DEFERRED	DEFERRED — needs the real Coolify/Traefik hop count and XFF-strip behaviour
BUG-010	HIGH	TECHNICAL-FIX	FIX-I permission gaps
BUG-011	HIGH	TECHNICAL-FIX	FIX-I permission gaps
BUG-012	HIGH	TECHNICAL-FIX	FIX-C path containment
BUG-013	HIGH	BUSINESS-DECISION	OPT-023 — hard block or soft warning when booking over an active maintenance block?
BUG-014	HIGH	TECHNICAL-FIX	FIX-V maintenance/spare cascade
BUG-015	HIGH	TECHNICAL-FIX	FIX-I permission gaps
BUG-016	HIGH	TECHNICAL-FIX	FIX-H state machine (CQ-005)
BUG-017	HIGH	TECHNICAL-FIX	FIX-AA route domain guards
BUG-018	HIGH	BUSINESS-DECISION	OPT-004 — does not_for_rental / needs_fixing make a vehicle unbookable, and may staff override?
BUG-019	HIGH	TECHNICAL-FIX	FIX-H state machine (CQ-005)
BUG-020	HIGH	TECHNICAL-FIX	FIX-Z schema validation
BUG-021	HIGH	TECHNICAL-FIX	FIX-H state machine (CQ-005)
BUG-022	HIGH	BUSINESS-DECISION	OPT-033 — may a vehicle with live reservations be deleted at all, and what happens to other customers' rows?
BUG-023	HIGH	TECHNICAL-FIX	FIX-I permission gaps
BUG-024	MEDIUM	BUSINESS-DECISION	no OPT — password policy: enforce history/reuse ban, or drop the unused table?
BUG-025	MEDIUM	TECHNICAL-FIX	FIX-D body validation (CQ-009)
BUG-026	MEDIUM	TECHNICAL-FIX	FIX-B uploads path (CQ-003)
BUG-027	MEDIUM	TECHNICAL-FIX	FIX-O document registration (CQ-008)
BUG-028	MEDIUM	TECHNICAL-FIX	FIX-P template validation
BUG-029	MEDIUM	TECHNICAL-FIX	FIX-B uploads path (CQ-003)
BUG-030	MEDIUM	TECHNICAL-FIX	FIX-AA route domain guards
BUG-031	MEDIUM	TECHNICAL-FIX	FIX-AA route domain guards
BUG-032	MEDIUM	TECHNICAL-FIX	FIX-V maintenance/spare cascade
BUG-033	MEDIUM	TECHNICAL-FIX	FIX-V maintenance/spare cascade
BUG-034	MEDIUM	BUSINESS-DECISION	OPT-006 — does creating a maintenance block change the vehicle status, and back again on delete?
BUG-035	MEDIUM	TECHNICAL-FIX	FIX-V maintenance/spare cascade
BUG-036	MEDIUM	TECHNICAL-FIX	FIX-H state machine (CQ-005)
BUG-037	MEDIUM	BUSINESS-DECISION	OPT-023 — may two maintenance blocks overlap on one vehicle?
BUG-038	MEDIUM	TECHNICAL-FIX	FIX-AA route domain guards
BUG-039	MEDIUM	TECHNICAL-FIX	FIX-AA route domain guards
BUG-040	MEDIUM	BUSINESS-DECISION	OPT-001/OPT-003 — is backdating a start date allowed, and what does the overdue gate count?
BUG-041	MEDIUM	TECHNICAL-FIX	FIX-Z schema validation
BUG-042	MEDIUM	TECHNICAL-FIX	FIX-Z schema validation
BUG-043	MEDIUM	TECHNICAL-FIX	FIX-G atomic transitions
BUG-044	MEDIUM	TECHNICAL-FIX	FIX-Z schema validation
BUG-045	MEDIUM	BUSINESS-DECISION	OPT-019 — must debtorNumber be unique, or only warn?
BUG-046	MEDIUM	TECHNICAL-FIX	FIX-J unauth endpoints
BUG-047	MEDIUM	TECHNICAL-FIX	FIX-K auth/session/limits
BUG-048	LOW	TECHNICAL-FIX	FIX-P template validation
BUG-049	LOW	TECHNICAL-FIX	FIX-AA route domain guards
BUG-050	LOW	TECHNICAL-FIX	FIX-O document registration (CQ-008)
BUG-051	LOW	TECHNICAL-FIX	FIX-J unauth endpoints
BUG-052	LOW	TECHNICAL-FIX	FIX-D body validation (CQ-009)
BUG-053	LOW	TECHNICAL-FIX	FIX-Q client robustness
BUG-054	LOW	TECHNICAL-FIX	FIX-Z schema validation
BUG-055	LOW	TECHNICAL-FIX	FIX-X delete/cancel cascade
BUG-056	LOW	BUSINESS-DECISION	no OPT — implement recurring reservations or remove the fields?
BUG-057	LOW	ENV/DEV-ONLY	ENV — correct in code, dev-gated; verify NODE_ENV=production in Coolify
BUG-058	LOW	TECHNICAL-FIX	FIX-Z schema validation
BUG-059	LOW	TECHNICAL-FIX	FIX-Z schema validation
BUG-060	CRITICAL	TECHNICAL-FIX	FIX-C path containment
